Kits_Dh-All|Dh-All|T_Termux|https://github.com/DH-AL/Dh-All|git
Kits_All-in-One|All-in-One|T_Termux|https://github.com/CjE369/All-in-One|git
Kits_Hacking-Tools|Hacking-Tools|T_Termux|https://github.com/mrprogrammer2938/hackingtools|git
Kits_Black-Tool-Termux|Black-Tool-Termux|T_Termux|https://github.com/mrprogrammer2938/Black-Tool-Termux|git
Kits_A-tool|A-tool|T_Termux|https://github.com/asu765/A-tool|git
Termux-Games|Termux-Games|T_Termux|https://github.com/khansaad1275/Termux-Games|git
Infoooze|Infoooze|T_Termux|https://github.com/7ORP3DO/infoooze|git
TORhunter|TORhunter|T_Termux|https://github.com/Err0r-ICA/TORhunter|git
MailFinder|MailFinder|T_Termux|https://github.com/mishakorzik/MailFinder|git
Free-Proxy|Free-Proxy|T_Termux|https://github.com/mishakorzik/Free-Proxy|git
Gmail-Hack|Gmail-Hack|T_Termux|https://github.com/mishakorzik/Gmail-Hack|git
AndroFetch|AndroFetch|T_Termux|https://github.com/laraib07/androfetch|git
Xteam|Xteam|T_Termux|https://github.com/xploitstech/Xteam|git
TermuxCyberArmy|TermuxCyberArmy|T_Termux|https://github.com/Err0r-ICA/TermuxCyberArmy|git
zVirus-Gen|zVirus-Gen|T_Termux|https://github.com/ZechBron/zVirus-Gen|git
IpHack|IpHack|T_Termux|https://github.com/mishakorzik/IpHack|git
UserFinder|UserFinder|T_Termux|https://github.com/mishakorzik/UserFinder|git
AdminHack|AdminHack|T_Termux|https://github.com/mishakorzik/AdminHack|git
AllHackingTools|AllHackingTools|T_Termux|https://github.com/mishakorzik/AllHackingTools|git
007-TheBond|007-TheBond|T_Termux|https://github.com/Deadshot0x7/007-TheBond|git
Host|Host|T_Termux|https://github.com/htr-tech/host|git
ShortUrl|ShortUrl|T_Termux|https://github.com/htr-tech/shorturl|git
T-Style|T-Style|T_Termux|https://github.com/htr-tech/tstyle|git
Termux-Style|Termux-Style|T_Termux|https://github.com/adi1090x/termux-style|git
Termux-Desktop|Termux-Desktop|T_Termux|https://github.com/adi1090x/termux-desktop|git
Kits_onex|onex|T_Termux|https://github.com/rajkumardusad/onex|git
H-SPLOIT|H-SPLOIT|T_Termux|https://github.com/jravis-8520/h-sploit|git
Cracker-Tool|Cracker-Tool|T_Termux|https://github.com/cracker911181/Cracker-Tool|git
b3x|b3x|T_Termux|https://github.com/joaroque/b3x|git
Snap|Snap|T_Termux|https://github.com/noob-hackers/snap|git
M-wiz|M-wiz|T_Termux|https://github.com/noob-hackers/m-wiz|git
Infect|Infect|T_Termux|https://github.com/noob-hackers/infect|git
Hacklock|Hacklock|T_Termux|https://github.com/noob-hackers/hacklock|git
Ighack|Ighack|T_Termux|https://github.com/noob-hackers/ighack|git
mrphish|mrphish|T_Termux|https://github.com/noob-hackers/mrphish|git
Hackinfinity AnonSurf|AnonSurf|A_Anonymity|https://github.com/Hackinfinity/anonsurf|git
ultrafunkamsterdam AnonSurf|AnonSurf|A_Anonymity|https://github.com/ultrafunkamsterdam/AnonSurf|git|git
4nonimizer|4nonimizer|A_Anonymity|https://github.com/Hackplayers/4nonimizer.git|git|git
Dracnmap|Dracnmap|IG_Information_Gathering|https://github.com/Screetsec/Dracnmap.git|git|git
Auxscan|Auxscan|IG_Information_Gathering,VA_Vulnerability_Analysis|https://github.com/Gameye98/Auxscan.git|git|python,git
Automater|TekDefense-Automater|IG_Information_Gathering|https://github.com/1aN0rmus/TekDefense-Automater.git|git|python,git
BeeLogger|BeeLogger|IG_Information_Gathering|https://github.com/4w4k3/BeeLogger.git|git|python,git
CMSmap|CMSmap|IG_Information_Gathering|https://github.com/Dionach/CMSmap.git|git|python,git
CamHacker|CamHacker|IG_Information_Gathering,SS_Sniffing_Spoofing|https://github.com/KasRoudra/CamHacker.git|git|git,php,curl,wget,php
Crips|Crips|IG_Information_Gathering|https://github.com/Manisso/Crips.git|git|python,git
CyberScan|CyberScan|VA_Vulnerability_Analysis|https://github.com/medbenali/CyberScan.git|git|python,git
BadMod|BadMod|VA_Vulnerability_Analysis|https://github.com/MrSqar-Ye/BadMod.git|git|php,git
Clickjacking-Tester|Clickjacking-Tester|VA_Vulnerability_Analysis|https://github.com/D4Vinci/Clickjacking-Tester.git|git|python,git
Cookie-stealer|Cookie-stealer|VA_Vulnerability_Analysis|https://github.com/Xyl2k/Cookie-stealer.git|git|php,git
Breacher|Breacher|WAH_Web_Application_Hacking|https://github.com/UltimateHackers/Breacher.git|git|python,git
BruteX|BruteX|WAH_Web_Application_Hacking|https://github.com/1N3/BruteX.git|git|python,git
DSSS|DSSS|WAH_Web_Application_Hacking|https://github.com/stamparm/DSSS.git|git|python,git
DSVW|DSVW|WAH_Web_Application_Hacking|https://github.com/stamparm/DSVW.git||git|python,git
DSXS|DSXS|WAH_Web_Application_Hacking|https://github.com/stamparm/DSXS.git|git|python,git
Blazy|Blazy|WAH_Web_Application_Hacking|https://github.com/UltimateHackers/Blazy.git|git|python,git
CMSeeK|CMSeeK|WAH_Web_Application_Hacking|https://github.com/Tuhinshubhra/CMSeeK.git|git|python,git
CeWL|CeWL|PH_Password_Attacks|https://github.com/digininja/CeWL.git|git|ruby,git
Black-Hydra|Black-Hydra|T_Termux,PH_Password_Attacks|https://github.com/Gameye98/Black-Hydra.git|git|python,git
AutoPixieWps|AutoPixieWps|WT_Wireless_Testing|https://github.com/nxxxu/AutoPixieWps.git|git|python,git
Brutal|Brutal|EF_Exploit_Frameworks|https://github.com/Screetsec/Brutal.git|git|git
A-Rat|A-Rat|EF_Exploit_Frameworks|https://github.com/RexTheGod/A-Rat.git|git|python,git
ATSCAN|ATSCAN|EF_Exploit_Frameworks|https://github.com/AlisamTechnology/ATSCAN.git|git|git
ADB-Toolkit|ADB-Toolkit|A_Android|https://github.com/ASHWIN990/ADB-Toolkit.git|git|git
